,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,variable,upper,lower,variable,upper,lower,variable,upper,lower,variable,upper,lower
,T_upper,T_lower,T_amb,_P_in_full,Time,in_provision,C,U,s_T,r_pel,prep_time,flex_event_duration,market_time,s_P,T_zone,P_in,r_del_u_P_in,T_zone,T_zone,T_zone,P_in,P_in,P_in,T_slack,T_slack,T_slack,P_el,P_el,P_el
"(0, 0.0)",299.0,290.0,278.15,22.305279775450693,0.0,0.0,10000.0,5.0,250.0,1.0,900.0,7200.0,900.0,10.0,294.15,22.305279775450693,0.0,294.15,303.15,288.15,22.305279775450693,200.0,0.0,,,,,,
"(0, 190.19237886466843)",,,,,,,,,,,,,,,,,,293.1096140597873,303.15,288.15,,,,9.018611712949314e-05,inf,-inf,22.305279775450693,inf,-inf
"(0, 709.8076211353316)",,,,,,,,,,,,,,,,,,290.6955984763175,303.15,288.15,,,,9.019525713021114e-05,inf,-inf,22.305279775450693,inf,-inf
"(0, 900.0)",299.0,290.0,278.4770156461507,59.46369672649223,900.0,0.0,,,,,,,,,,,,289.9688023591669,303.15,288.15,200.00000190973728,200.0,0.0,,,,,,
"(0, 1090.1923788646684)",,,,,,,,,,,,,,,,,,292.539188745157,303.15,288.15,,,,9.018662179899933e-05,inf,-inf,200.00000190973728,inf,-inf
"(0, 1609.8076211353316)",,,,,,,,,,,,,,,,,,298.5032762548846,303.15,288.15,,,,9.019996617788718e-05,inf,-inf,200.00000190973728,inf,-inf
"(0, 1800.0)",299.0,290.0,278.80263096110025,59.13034947277318,1800.0,0.0,,,,,,,,,,,,300.2989049468017,303.15,288.15,6.637177165165155e-08,200.0,0.0,,,,,,
"(0, 1990.1923788646684)",,,,,,,,,,,,,,,,,,298.36073615762734,303.15,288.15,,,,9.019631154679165e-05,inf,-inf,6.637177165165155e-08,inf,-inf
"(0, 2509.807621135332)",,,,,,,,,,,,,,,,,,293.8635880516993,303.15,288.15,,,,9.018578301803673e-05,inf,-inf,6.637177165165155e-08,inf,-inf
"(0, 2700.0)",299.0,290.0,279.12545161008063,59.218373706009636,2700.0,0.0,,,,,,,,,,,,292.50961593817175,303.15,288.15,27.981261810507196,200.0,0.0,,,,,,
"(0, 2890.1923788646686)",,,,,,,,,,,,,,,,,,291.8074343449952,303.15,288.15,,,,9.01878794869566e-05,inf,-inf,27.981261810507196,inf,-inf
"(0, 3409.807621135332)",,,,,,,,,,,,,,,,,,290.178156936645,303.15,288.15,,,,9.022643779111486e-05,inf,-inf,27.981261810507196,inf,-inf
