,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,variable,upper,lower,variable,upper,lower,variable,upper,lower,variable,variable,upper,upper,lower,lower
"(0, 9900.0)",299.0,290.0,278.15,9900.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9899970650686,303.15,288.15,59.19998593471986,200.0,0.0,,,,,,,,,
"(0, 10090.192378864669)",,,,,,,,,,,,,,,,,289.9899970760573,303.15,288.15,,,,0.010000031322096198,inf,-inf,59.19998593471986,59.19998593471986,inf,inf,-inf,-inf
"(0, 10609.807621135331)",,,,,,,,,,,,,,,,,289.98999710155454,303.15,288.15,,,,0.010000005824865443,inf,-inf,59.19998593471986,59.19998593471986,inf,inf,-inf,-inf
"(0, 10800.0)",299.0,290.0,278.15,10800.0,0.0,0.0,0.0,0.0,,,,,,,,,289.98999710923067,303.15,288.15,59.199985385242314,200.0,0.0,,,,,,,,,
"(0, 10990.192378864669)",,,,,,,,,,,,,,,,,289.9899971063291,303.15,288.15,,,,0.010000001050328779,inf,-inf,59.199985385242314,59.199985385242314,inf,inf,-inf,-inf
"(0, 11509.807621135331)",,,,,,,,,,,,,,,,,289.98999709959656,303.15,288.15,,,,0.01000000778286725,inf,-inf,59.199985385242314,59.199985385242314,inf,inf,-inf,-inf
"(0, 11700.0)",299.0,290.0,278.15,11700.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9899970975692,303.15,288.15,59.199985530336484,200.0,0.0,,,,,,,,,
"(0, 11890.192378864669)",,,,,,,,,,,,,,,,,289.9899970983355,303.15,288.15,,,,0.010000009043924776,inf,-inf,59.199985530336484,59.199985530336484,inf,inf,-inf,-inf
"(0, 12409.807621135331)",,,,,,,,,,,,,,,,,289.98999710011356,303.15,288.15,,,,0.010000007265826807,inf,-inf,59.199985530336484,59.199985530336484,inf,inf,-inf,-inf
"(0, 12600.0)",299.0,290.0,278.15,12600.0,0.0,0.0,0.0,0.0,,,,,,,,,289.98999710064857,303.15,288.15,59.19998549202299,200.0,0.0,,,,,,,,,
"(0, 12790.192378864669)",,,,,,,,,,,,,,,,,289.98999710044626,303.15,288.15,,,,0.0100000069331285,inf,-inf,59.19998549202299,59.19998549202299,inf,inf,-inf,-inf
"(0, 13309.807621135331)",,,,,,,,,,,,,,,,,289.98999709997696,303.15,288.15,,,,0.010000007402390518,inf,-inf,59.19998549202299,59.19998549202299,inf,inf,-inf,-inf
"(0, 13500.0)",299.0,290.0,278.15,13500.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9899970998354,303.15,288.15,59.19998550214124,200.0,0.0,,,,,,,,,
"(0, 13690.192378864669)",,,,,,,,,,,,,,,,,289.9899970998889,303.15,288.15,,,,0.010000007490472296,inf,-inf,59.19998550214124,59.19998550214124,inf,inf,-inf,-inf
"(0, 14209.807621135331)",,,,,,,,,,,,,,,,,289.9899971000131,303.15,288.15,,,,0.010000007366321315,inf,-inf,59.19998550214124,59.19998550214124,inf,inf,-inf,-inf
"(0, 14400.0)",299.0,290.0,278.15,14400.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9899971000501,303.15,288.15,59.19998549946932,200.0,0.0,,,,,,,,,
"(0, 14590.192378864669)",,,,,,,,,,,,,,,,,289.9899971000361,303.15,288.15,,,,0.010000007343323207,inf,-inf,59.19998549946932,59.19998549946932,inf,inf,-inf,-inf
"(0, 15109.807621135331)",,,,,,,,,,,,,,,,,289.98999710000356,303.15,288.15,,,,0.010000007375832105,inf,-inf,59.19998549946932,59.19998549946932,inf,inf,-inf,-inf
"(0, 15300.0)",299.0,290.0,278.15,15300.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9899970999934,303.15,288.15,59.199985500175146,200.0,0.0,,,,,,,,,
"(0, 15490.192378864669)",,,,,,,,,,,,,,,,,289.9899970999972,303.15,288.15,,,,0.010000007382186898,inf,-inf,59.199985500175146,59.199985500175146,inf,inf,-inf,-inf
"(0, 16009.807621135331)",,,,,,,,,,,,,,,,,289.98999710000606,303.15,288.15,,,,0.010000007373319948,inf,-inf,59.199985500175146,59.199985500175146,inf,inf,-inf,-inf
"(0, 16200.0)",299.0,290.0,278.15,16200.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9899971000084,303.15,288.15,59.199985499987775,200.0,0.0,,,,,,,,,
"(0, 16390.192378864667)",,,,,,,,,,,,,,,,,289.9899971000075,303.15,288.15,,,,0.010000007371916609,inf,-inf,59.199985499987775,59.199985499987775,inf,inf,-inf,-inf
"(0, 16909.807621135333)",,,,,,,,,,,,,,,,,289.9899971000054,303.15,288.15,,,,0.010000007374010463,inf,-inf,59.199985499987775,59.199985499987775,inf,inf,-inf,-inf
"(0, 17100.0)",299.0,290.0,278.15,17100.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9899971000044,303.15,288.15,59.19998550003822,200.0,0.0,,,,,,,,,
"(0, 17290.192378864667)",,,,,,,,,,,,,,,,,289.98999710000476,303.15,288.15,,,,0.010000007374603681,inf,-inf,59.19998550003822,59.19998550003822,inf,inf,-inf,-inf
"(0, 17809.807621135333)",,,,,,,,,,,,,,,,,289.9899971000056,303.15,288.15,,,,0.010000007373818,inf,-inf,59.19998550003822,59.19998550003822,inf,inf,-inf,-inf
"(0, 18000.0)",299.0,290.0,278.15,18000.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9899971000055,303.15,288.15,59.19998550002428,200.0,0.0,,,,,,,,,
"(0, 18190.192378864667)",,,,,,,,,,,,,,,,,289.9899971000055,303.15,288.15,,,,0.010000007373917279,inf,-inf,59.19998550002428,59.19998550002428,inf,inf,-inf,-inf
"(0, 18709.807621135333)",,,,,,,,,,,,,,,,,289.9899971000055,303.15,288.15,,,,0.01000000737385249,inf,-inf,59.19998550002428,59.19998550002428,inf,inf,-inf,-inf
"(0, 18900.0)",299.0,290.0,278.15,18900.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9899971000052,303.15,288.15,59.199985500027374,200.0,0.0,,,,,,,,,
"(0, 19090.192378864667)",,,,,,,,,,,,,,,,,289.98999710000527,303.15,288.15,,,,0.010000007374103828,inf,-inf,59.199985500027374,59.199985500027374,inf,inf,-inf,-inf
"(0, 19609.807621135333)",,,,,,,,,,,,,,,,,289.98999710000555,303.15,288.15,,,,0.010000007373865041,inf,-inf,59.199985500027374,59.199985500027374,inf,inf,-inf,-inf
"(0, 19800.0)",299.0,290.0,278.15,19800.0,0.0,0.0,0.0,0.0,,,,,,,,,289.98999710000527,303.15,288.15,59.19998550002674,200.0,0.0,,,,,,,,,
"(0, 19990.192378864667)",,,,,,,,,,,,,,,,,289.9899971000053,303.15,288.15,,,,0.01000000737403011,inf,-inf,59.19998550002674,59.19998550002674,inf,inf,-inf,-inf
"(0, 20509.807621135333)",,,,,,,,,,,,,,,,,289.98999710000555,303.15,288.15,,,,0.010000007373856963,inf,-inf,59.19998550002674,59.19998550002674,inf,inf,-inf,-inf
"(0, 20700.0)",299.0,290.0,278.15,20700.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9899971000052,303.15,288.15,59.19998550002809,200.0,0.0,,,,,,,,,
"(0, 20890.192378864667)",,,,,,,,,,,,,,,,,289.9899971000053,303.15,288.15,,,,0.010000007374064077,inf,-inf,59.19998550002809,59.19998550002809,inf,inf,-inf,-inf
"(0, 21409.807621135333)",,,,,,,,,,,,,,,,,289.98999710000555,303.15,288.15,,,,0.010000007373854064,inf,-inf,59.19998550002809,59.19998550002809,inf,inf,-inf,-inf
"(0, 21600.0)",299.0,290.0,278.15,21600.0,0.0,0.0,0.0,0.0,,,,,,,,,289.98999710000527,303.15,288.15,59.199985500026905,200.0,0.0,,,,,,,,,
"(0, 21790.192378864667)",,,,,,,,,,,,,,,,,289.9899971000053,303.15,288.15,,,,0.010000007374059993,inf,-inf,59.199985500026905,59.199985500026905,inf,inf,-inf,-inf
"(0, 22309.807621135333)",,,,,,,,,,,,,,,,,289.98999710000555,303.15,288.15,,,,0.010000007373836843,inf,-inf,59.199985500026905,59.199985500026905,inf,inf,-inf,-inf
"(0, 22500.0)",299.0,290.0,278.15,22500.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9899971000052,303.15,288.15,59.19998550002742,200.0,0.0,,,,,,,,,
"(0, 22690.192378864667)",,,,,,,,,,,,,,,,,289.9899971000053,303.15,288.15,,,,0.010000007374076027,inf,-inf,59.19998550002742,59.19998550002742,inf,inf,-inf,-inf
"(0, 23209.807621135333)",,,,,,,,,,,,,,,,,289.98999710000555,303.15,288.15,,,,0.01000000737385525,inf,-inf,59.19998550002742,59.19998550002742,inf,inf,-inf,-inf
"(0, 23400.0)",299.0,290.0,278.15,23400.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9899971000052,303.15,288.15,59.19998550002728,200.0,0.0,,,,,,,,,
"(0, 23590.192378864667)",,,,,,,,,,,,,,,,,289.9899971000053,303.15,288.15,,,,0.010000007374058765,inf,-inf,59.19998550002728,59.19998550002728,inf,inf,-inf,-inf
"(0, 24109.807621135333)",,,,,,,,,,,,,,,,,289.9899971000056,303.15,288.15,,,,0.01000000737381943,inf,-inf,59.19998550002728,59.19998550002728,inf,inf,-inf,-inf
"(0, 24300.0)",299.0,290.0,278.15,24300.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9899971000053,303.15,288.15,59.19998550002379,200.0,0.0,,,,,,,,,
"(0, 24490.192378864667)",,,,,,,,,,,,,,,,,289.9899971000053,303.15,288.15,,,,0.01000000737406768,inf,-inf,59.19998550002379,59.19998550002379,inf,inf,-inf,-inf
"(0, 25009.807621135333)",,,,,,,,,,,,,,,,,289.9899971000054,303.15,288.15,,,,0.010000007373975946,inf,-inf,59.19998550002379,59.19998550002379,inf,inf,-inf,-inf
"(0, 25200.0)",299.0,290.0,278.15,25200.0,0.0,0.0,0.0,0.0,,,,,,,,,289.98999710000504,303.15,288.15,59.19998550003911,200.0,0.0,,,,,,,,,
"(0, 25390.192378864667)",,,,,,,,,,,,,,,,,289.9899971000053,303.15,288.15,,,,0.010000007374056272,inf,-inf,59.19998550003911,59.19998550003911,inf,inf,-inf,-inf
"(0, 25909.807621135333)",,,,,,,,,,,,,,,,,289.9899971000061,303.15,288.15,,,,0.01000000737326851,inf,-inf,59.19998550003911,59.19998550003911,inf,inf,-inf,-inf
"(0, 26100.0)",299.0,290.0,278.15,26100.0,0.0,0.0,0.0,0.0,,,,,,,,,289.989997100006,303.15,288.15,59.199985499981544,200.0,0.0,,,,,,,,,
"(0, 26290.192378864667)",,,,,,,,,,,,,,,,,289.9899971000052,303.15,288.15,,,,0.010000007374184893,inf,-inf,59.199985499981544,59.199985499981544,inf,inf,-inf,-inf
"(0, 26809.807621135333)",,,,,,,,,,,,,,,,,289.98999710000334,303.15,288.15,,,,0.010000007376091415,inf,-inf,59.199985499981544,59.199985499981544,inf,inf,-inf,-inf
"(0, 27000.0)",299.0,290.0,278.15,27000.0,0.0,0.0,0.0,0.0,,,,,,,,,289.98999710000237,303.15,288.15,59.199985500202324,200.0,0.0,,,,,,,,,
"(0, 27190.192378864667)",,,,,,,,,,,,,,,,,289.9899971000059,303.15,288.15,,,,0.010000007373526843,inf,-inf,59.199985500202324,59.199985500202324,inf,inf,-inf,-inf
"(0, 27709.807621135333)",,,,,,,,,,,,,,,,,289.989997100014,303.15,288.15,,,,0.010000007365333897,inf,-inf,59.199985500202324,59.199985500202324,inf,inf,-inf,-inf
"(0, 27900.0)",299.0,290.0,278.15,27900.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9899971000162,303.15,288.15,59.19998549936091,200.0,0.0,,,,,,,,,
"(0, 28090.192378864667)",,,,,,,,,,,,,,,,,289.9899971000032,303.15,288.15,,,,0.010000007376148045,inf,-inf,59.19998549936091,59.19998549936091,inf,inf,-inf,-inf
"(0, 28609.807621135333)",,,,,,,,,,,,,,,,,289.9899970999733,303.15,288.15,,,,0.01000000740607821,inf,-inf,59.19998549936091,59.19998549936091,inf,inf,-inf,-inf
"(0, 28800.0)",299.0,290.0,278.15,28800.0,0.0,0.0,0.0,0.0,,,,,,,,,289.98999709996394,303.15,288.15,59.1999855025502,200.0,0.0,,,,,,,,,
"(0, 28990.192378864667)",,,,,,,,,,,,,,,,,289.9899971000132,303.15,288.15,,,,0.010000007366183925,inf,-inf,59.1999855025502,59.1999855025502,inf,inf,-inf,-inf
"(0, 29509.807621135333)",,,,,,,,,,,,,,,,,289.98999710012765,303.15,288.15,,,,0.010000007251731058,inf,-inf,59.1999855025502,59.1999855025502,inf,inf,-inf,-inf
"(0, 29700.0)",299.0,290.0,278.15,29700.0,0.0,0.0,0.0,0.0,,,,,,,,,289.98999710016176,303.15,288.15,59.199985490471434,200.0,0.0,,,,,,,,,
"(0, 29890.192378864667)",,,,,,,,,,,,,,,,,289.9899970999754,303.15,288.15,,,,0.010000007403973544,inf,-inf,59.199985490471434,59.199985490471434,inf,inf,-inf,-inf
"(0, 30409.807621135333)",,,,,,,,,,,,,,,,,289.98999709954313,303.15,288.15,,,,0.01000000783628772,inf,-inf,59.199985490471434,59.199985490471434,inf,inf,-inf,-inf
"(0, 30600.0)",299.0,290.0,278.15,30600.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9899970994126,303.15,288.15,59.19998553621135,200.0,0.0,,,,,,,,,
"(0, 30790.192378864667)",,,,,,,,,,,,,,,,,289.9899971001186,303.15,288.15,,,,0.010000007260783797,inf,-inf,59.19998553621135,59.19998553621135,inf,inf,-inf,-inf
"(0, 31309.807621135333)",,,,,,,,,,,,,,,,,289.9899971017568,303.15,288.15,,,,0.010000005622630917,inf,-inf,59.19998553621135,59.19998553621135,inf,inf,-inf,-inf
"(0, 31500.0)",299.0,290.0,278.15,31500.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9899971022496,303.15,288.15,59.19998536299966,200.0,0.0,,,,,,,,,
"(0, 31690.192378864667)",,,,,,,,,,,,,,,,,289.9899970995764,303.15,288.15,,,,0.010000007803014124,inf,-inf,59.19998536299966,59.19998536299966,inf,inf,-inf,-inf
"(0, 32209.807621135333)",,,,,,,,,,,,,,,,,289.9899970933737,303.15,288.15,,,,0.010000014005708973,inf,-inf,59.19998536299966,59.19998536299966,inf,inf,-inf,-inf
"(0, 32400.0)",299.0,290.0,278.15,32400.0,0.0,0.0,0.0,0.0,,,,,,,,,289.98999709150587,303.15,288.15,59.19998601894736,200.0,0.0,,,,,,,,,
"(0, 32590.192378864667)",,,,,,,,,,,,,,,,,289.98999710162974,303.15,288.15,,,,0.010000005749626513,inf,-inf,59.19998601894736,59.19998601894736,inf,inf,-inf,-inf
"(0, 33109.80762113533)",,,,,,,,,,,,,,,,,289.9899971251204,303.15,288.15,,,,0.009999982259058269,inf,-inf,59.19998601894736,59.19998601894736,inf,inf,-inf,-inf
"(0, 33300.0)",299.0,290.0,278.15,33300.0,0.0,0.0,0.0,0.0,,,,,,,,,289.98999713219246,303.15,288.15,59.199983534875415,200.0,0.0,,,,,,,,,
"(0, 33490.19237886467)",,,,,,,,,,,,,,,,,289.9899970938536,303.15,288.15,,,,0.01000001352574244,inf,-inf,59.199983534875415,59.199983534875415,inf,inf,-inf,-inf
"(0, 34009.80762113533)",,,,,,,,,,,,,,,,,289.9899970048958,303.15,288.15,,,,0.010000102483528594,inf,-inf,59.199983534875415,59.199983534875415,inf,inf,-inf,-inf
"(0, 34200.0)",299.0,290.0,278.15,34200.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9899969781127,303.15,288.15,59.199992942044005,200.0,0.0,,,,,,,,,
"(0, 34390.19237886467)",,,,,,,,,,,,,,,,,289.98999712330186,303.15,288.15,,,,0.00999998407756962,inf,-inf,59.199992942044005,59.199992942044005,inf,inf,-inf,-inf
"(0, 34909.80762113533)",,,,,,,,,,,,,,,,,289.9899974601856,303.15,288.15,,,,0.009999647194099223,inf,-inf,59.199992942044005,59.199992942044005,inf,inf,-inf,-inf
"(0, 35100.0)",299.0,290.0,278.15,35100.0,0.0,0.0,0.0,0.0,,,,,,,,,289.98999756161203,303.15,288.15,59.19995731714954,200.0,0.0,,,,,,,,,
"(0, 35290.19237886467)",,,,,,,,,,,,,,,,,289.9899970117816,303.15,288.15,,,,0.01000009559772245,inf,-inf,59.19995731714954,59.19995731714954,inf,inf,-inf,-inf
"(0, 35809.80762113533)",,,,,,,,,,,,,,,,,289.9899957360059,303.15,288.15,,,,0.010001371372494489,inf,-inf,59.19995731714954,59.19995731714954,inf,inf,-inf,-inf
"(0, 36000.0)",299.0,290.0,278.15,36000.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9899953519032,303.15,288.15,59.2000922284197,200.0,0.0,,,,,,,,,
"(0, 36190.19237886467)",,,,,,,,,,,,,,,,,289.9899974341081,303.15,288.15,,,,0.009999673271543273,inf,-inf,59.2000922284197,59.2000922284197,inf,inf,-inf,-inf
"(0, 36709.80762113533)",,,,,,,,,,,,,,,,,289.9900022654643,303.15,288.15,,,,0.009994841918970147,inf,-inf,59.2000922284197,59.2000922284197,inf,inf,-inf,-inf
"(0, 36900.0)",299.0,290.0,278.15,36900.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9900037200572,303.15,288.15,59.199581320236945,200.0,0.0,,,,,,,,,
"(0, 37090.19237886467)",,,,,,,,,,,,,,,,,289.98999583476007,303.15,288.15,,,,0.010001272618395798,inf,-inf,59.199581320236945,59.199581320236945,inf,inf,-inf,-inf
"(0, 37609.80762113533)",,,,,,,,,,,,,,,,,289.9899775384439,303.15,288.15,,,,0.010019568921109641,inf,-inf,59.199581320236945,59.199581320236945,inf,inf,-inf,-inf
"(0, 37800.0)",299.0,290.0,278.15,37800.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9899720299077,303.15,288.15,59.20151612650946,200.0,0.0,,,,,,,,,
"(0, 37990.19237886467)",,,,,,,,,,,,,,,,,289.9900018914817,303.15,288.15,,,,0.009995215901165358,inf,-inf,59.20151612650946,59.20151612650946,inf,inf,-inf,-inf
"(0, 38509.80762113533)",,,,,,,,,,,,,,,,,289.9900711795242,303.15,288.15,,,,0.009925927910207244,inf,-inf,59.20151612650946,59.20151612650946,inf,inf,-inf,-inf
"(0, 38700.0)",299.0,290.0,278.15,38700.0,0.0,0.0,0.0,0.0,,,,,,,,,289.99009204031717,303.15,288.15,59.19418902655277,200.0,0.0,,,,,,,,,
"(0, 38890.19237886467)",,,,,,,,,,,,,,,,,289.98997895471234,303.15,288.15,,,,0.010018152653693458,inf,-inf,59.19418902655277,59.19418902655277,inf,inf,-inf,-inf
"(0, 39409.80762113533)",,,,,,,,,,,,,,,,,289.9897165613047,303.15,288.15,,,,0.010280545873571885,inf,-inf,59.19418902655277,59.19418902655277,inf,inf,-inf,-inf
"(0, 39600.0)",299.0,290.0,278.15,39600.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9896375616031,303.15,288.15,59.22193671091015,200.0,0.0,,,,,,,,,
"(0, 39790.19237886467)",,,,,,,,,,,,,,,,,289.99006581612235,303.15,288.15,,,,0.009931291308080363,inf,-inf,59.22193671091015,59.22193671091015,inf,inf,-inf,-inf
"(0, 40309.80762113533)",,,,,,,,,,,,,,,,,289.99105949841197,303.15,288.15,,,,0.008937609843516806,inf,-inf,59.22193671091015,59.22193671091015,inf,inf,-inf,-inf
"(0, 40500.0)",299.0,290.0,278.15,40500.0,0.0,0.0,0.0,0.0,,,,,,,,,289.99135866981493,303.15,288.15,59.11685639346089,200.0,0.0,,,,,,,,,
"(0, 40690.19237886467)",,,,,,,,,,,,,,,,,289.9897368724692,303.15,288.15,,,,0.01026023472321452,inf,-inf,59.11685639346089,59.11685639346089,inf,inf,-inf,-inf
"(0, 41209.80762113533)",,,,,,,,,,,,,,,,,289.9859738034826,303.15,288.15,,,,0.014023301781384672,inf,-inf,59.11685639346089,59.11685639346089,inf,inf,-inf,-inf
"(0, 41400.0)",299.0,290.0,278.15,41400.0,0.0,0.0,0.0,0.0,,,,,,,,,289.98484084313736,303.15,288.15,59.581988808207235,200.0,0.0,,,,,,,,,
"(0, 41590.19237886467)",,,,,,,,,,,,,,,,,289.9921942604872,303.15,288.15,,,,0.007802848949315376,inf,-inf,59.581988808207235,59.581988808207235,inf,inf,-inf,-inf
"(0, 42109.80762113533)",,,,,,,,,,,,,,,,,290.00925645191865,303.15,288.15,,,,8.088082094817836e-05,inf,-inf,59.581988808207235,59.581988808207235,inf,inf,-inf,-inf
"(0, 42300.0)",299.0,290.0,278.15,42300.0,0.0,0.0,0.0,0.0,,,,,,,,,290.0143934255847,303.15,288.15,58.012118964905966,200.0,0.0,,,,,,,,,
"(0, 42490.19237886467)",,,,,,,,,,,,,,,,,289.99077345468766,303.15,288.15,,,,0.00922365326490964,inf,-inf,58.012118964905966,58.012118964905966,inf,inf,-inf,-inf
"(0, 43009.80762113533)",,,,,,,,,,,,,,,,,289.93596785262935,303.15,288.15,,,,0.06402924852346205,inf,-inf,58.012118964905966,58.012118964905966,inf,inf,-inf,-inf
