,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,variable,upper,lower,variable,upper,lower,variable,upper,lower,variable,upper,lower
"(0, 3600.0)",299.0,290.0,279.44409522551257,59.195129879597125,3600.0,0.0,,,,,,,,,,,,299.04432594108636,303.15,288.15,98.95935372051493,200.0,0.0,,,,,,
"(0, 3790.1923788646686)",,,,,,,,,,,,,,,,,,299.0616047831094,303.15,288.15,,,,0.06160179909916921,inf,-inf,98.95935372051493,inf,-inf
"(0, 4309.807621135332)",,,,,,,,,,,,,,,,,,299.1016970145552,303.15,288.15,,,,0.10169402818358929,inf,-inf,98.95935372051493,inf,-inf
"(0, 4500.0)",299.0,290.0,279.7571973265158,59.20126768328041,4500.0,0.0,,,,,,,,,,,,299.113767722939,303.15,288.15,96.59174970368397,200.0,0.0,,,,,,
"(0, 4690.192378864668)",,,,,,,,,,,,,,,,,,299.1103216515681,303.15,288.15,,,,0.11031866491274633,inf,-inf,96.59174970368397,inf,-inf
"(0, 5209.807621135332)",,,,,,,,,,,,,,,,,,299.1023257053816,303.15,288.15,,,,0.10232271898767217,inf,-inf,96.59174970368397,inf,-inf
"(0, 5400.0)",299.0,290.0,280.06341716182544,59.19964692457258,5400.0,0.0,,,,,,,,,,,,299.099918337889,303.15,288.15,94.99847172807746,200.0,0.0,,,,,,
"(0, 5590.192378864668)",,,,,,,,,,,,,,,,,,299.0965997232261,303.15,288.15,,,,0.09659673704599007,inf,-inf,94.99847172807746,inf,-inf
"(0, 6109.807621135332)",,,,,,,,,,,,,,,,,,299.08889951583006,303.15,288.15,,,,0.08889652998077195,inf,-inf,94.99847172807746,inf,-inf
"(0, 6300.0)",299.0,290.0,280.361443451095,59.20007490482807,6300.0,0.0,,,,,,,,,,,,299.0865811874498,303.15,288.15,94.56232357712913,200.0,0.0,,,,,,
"(0, 6490.192378864668)",,,,,,,,,,,,,,,,,,299.10347115194656,303.15,288.15,,,,0.10346816551269174,inf,-inf,94.56232357712913,inf,-inf
"(0, 7009.807621135332)",,,,,,,,,,,,,,,,,,299.14266106784567,303.15,288.15,,,,0.1426580804321592,inf,-inf,94.56232357712913,inf,-inf
"(0, 7200.0)",299.0,290.0,280.65,59.19996189164579,7200.0,0.0,,,,,,,,,,,,299.1544601129311,303.15,288.15,88.12012035904937,200.0,0.0,,,,,,
"(0, 7390.192378864668)",,,,,,,,,,,,,,,,,,299.0750773483667,303.15,288.15,,,,0.07507436328162599,inf,-inf,88.12012035904937,inf,-inf
"(0, 7909.807621135332)",,,,,,,,,,,,,,,,,,298.890884902746,303.15,288.15,,,,9.028929469726655e-05,inf,-inf,88.12012035904937,inf,-inf
"(0, 8100.0)",299.0,290.0,280.927851165098,59.19999173409529,8100.0,0.0,,,,,,,,,,,,298.8354294387452,303.15,288.15,103.46297126893809,200.0,0.0,,,,,,
"(0, 8290.192378864669)",,,,,,,,,,,,,,,,,,299.0865348655269,303.15,288.15,,,,0.0865318797910783,inf,-inf,103.46297126893809,inf,-inf
"(0, 8809.807621135331)",,,,,,,,,,,,,,,,,,299.6691767390042,303.15,288.15,,,,0.6691737495555762,inf,-inf,103.46297126893809,inf,-inf
"(0, 9000.0)",299.0,290.0,281.1938071450436,59.199983853848416,9000.0,0.0,,,,,,,,,,,,299.8445947662245,303.15,288.15,7.537176987749645e-07,200.0,0.0,,,,,,
"(0, 9190.192378864669)",,,,,,,,,,,,,,,,,,298.1629836081655,303.15,288.15,,,,9.023348754972145e-05,inf,-inf,7.537176987749645e-07,inf,-inf
"(0, 9709.807621135331)",,,,,,,,,,,,,,,,,,294.2611281678074,303.15,288.15,,,,9.022576102505277e-05,inf,-inf,7.537176987749645e-07,inf,-inf
"(0, 9900.0)",299.0,290.0,281.44672907550034,59.19998593471986,9900.0,0.0,,,,,,,,,,,,293.0863828997348,303.15,288.15,15.179987671261577,200.0,0.0,,,,,,
"(0, 10090.192378864669)",,,,,,,,,,,,,,,,,,292.3106513420046,303.15,288.15,,,,9.022697382194973e-05,inf,-inf,15.179987671261577,inf,-inf
"(0, 10609.807621135331)",,,,,,,,,,,,,,,,,,290.5107153792338,303.15,288.15,,,,9.023981449953654e-05,inf,-inf,15.179987671261577,inf,-inf
"(0, 10800.0)",299.0,290.0,281.68553390593274,59.199985385242314,10800.0,0.0,,,,,,,,,,,,289.96880236184495,303.15,288.15,41.78602716817404,200.0,0.0,,,,,,
"(0, 10990.192378864669)",,,,,,,,,,,,,,,,,,289.97546874238947,303.15,288.15,,,,0.024528372653649055,inf,-inf,41.78602716817404,inf,-inf
"(0, 11509.807621135331)",,,,,,,,,,,,,,,,,,289.9909367969813,303.15,288.15,,,,0.009060343743895903,inf,-inf,41.78602716817404,inf,-inf
"(0, 11700.0)",299.0,290.0,281.90919903739484,59.199985530336484,11700.0,0.0,,,,,,,,,,,,289.9955938182919,303.15,288.15,40.3343542944407,200.0,0.0,,,,,,
"(0, 11890.192378864669)",,,,,,,,,,,,,,,,,,289.9938334826948,303.15,288.15,,,,0.006163677169846865,inf,-inf,40.3343542944407,inf,-inf
"(0, 12409.807621135331)",,,,,,,,,,,,,,,,,,289.98974896232676,303.15,288.15,,,,0.010248173678101064,inf,-inf,40.3343542944407,inf,-inf
"(0, 12600.0)",299.0,290.0,282.11676670145613,59.19998549202299,12600.0,0.0,,,,,,,,,,,,289.9885192214896,303.15,288.15,39.3845401977223,200.0,0.0,,,,,,
"(0, 12790.192378864669)",,,,,,,,,,,,,,,,,,289.9889840586526,303.15,288.15,,,,0.011013074851537257,inf,-inf,39.3845401977223,inf,-inf
"(0, 13309.807621135331)",,,,,,,,,,,,,,,,,,289.99006262393505,303.15,288.15,,,,0.009934513206553093,inf,-inf,39.3845401977223,inf,-inf
"(0, 13500.0)",299.0,290.0,282.3073480615127,59.19998550214124,13500.0,0.0,,,,,,,,,,,,289.99038735135764,303.15,288.15,38.408389573731306,200.0,0.0,,,,,,
"(0, 13690.192378864669)",,,,,,,,,,,,,,,,,,289.9902646056795,303.15,288.15,,,,0.009732532232938561,inf,-inf,38.408389573731306,inf,-inf
"(0, 14209.807621135331)",,,,,,,,,,,,,,,,,,289.98997979792864,303.15,288.15,,,,0.01001733890586397,inf,-inf,38.408389573731306,inf,-inf
"(0, 14400.0)",299.0,290.0,282.4801270189222,59.19998549946932,14400.0,0.0,,,,,,,,,,,,289.98989404986236,303.15,288.15,37.550632589665256,200.0,0.0,,,,,,
"(0, 14590.192378864669)",,,,,,,,,,,,,,,,,,289.98992646229215,303.15,288.15,,,,0.010070674347318103,inf,-inf,37.550632589665256,inf,-inf
"(0, 15109.807621135331)",,,,,,,,,,,,,,,,,,289.99000166910497,303.15,288.15,,,,0.009995467810162317,inf,-inf,37.550632589665256,inf,-inf
"(0, 15300.0)",299.0,290.0,282.6343637076634,59.199985500175146,15300.0,0.0,,,,,,,,,,,,289.99002431188285,303.15,288.15,36.777828387448764,200.0,0.0,,,,,,
"(0, 15490.192378864669)",,,,,,,,,,,,,,,,,,289.9900157530031,303.15,288.15,,,,0.009981383964108815,inf,-inf,36.777828387448764,inf,-inf
"(0, 16009.807621135331)",,,,,,,,,,,,,,,,,,289.98999589376797,303.15,288.15,,,,0.010001243125833007,inf,-inf,36.777828387448764,inf,-inf
"(0, 16200.0)",299.0,290.0,282.7693976625564,59.199985499987775,16200.0,0.0,,,,,,,,,,,,289.98998991467823,303.15,288.15,36.10308659319615,200.0,0.0,,,,,,
"(0, 16390.192378864667)",,,,,,,,,,,,,,,,,,289.989992174751,303.15,288.15,,,,0.010004962129090848,inf,-inf,36.10308659319615,inf,-inf
"(0, 16909.807621135333)",,,,,,,,,,,,,,,,,,289.98999741881545,303.15,288.15,,,,0.009999718083999298,inf,-inf,36.10308659319615,inf,-inf
"(0, 17100.0)",299.0,290.0,282.8846506474755,59.19998550003822,17100.0,0.0,,,,,,,,,,,,289.9899989976639,303.15,288.15,35.52670865544033,200.0,0.0,,,,,,
"(0, 17290.192378864667)",,,,,,,,,,,,,,,,,,289.98999840086594,303.15,288.15,,,,0.00999873603713096,inf,-inf,35.52670865544033,inf,-inf
"(0, 17809.807621135333)",,,,,,,,,,,,,,,,,,289.98999701611103,303.15,288.15,,,,0.01000012078692805,inf,-inf,35.52670865544033,inf,-inf
"(0, 18000.0)",299.0,290.0,282.97962913144534,59.19998550002428,18000.0,0.0,,,,,,,,,,,,289.9899965991977,303.15,288.15,35.051846078042445,200.0,0.0,,,,,,
"(0, 18190.192378864667)",,,,,,,,,,,,,,,,,,289.9899967567897,303.15,288.15,,,,0.010000380107309291,inf,-inf,35.051846078042445,inf,-inf
"(0, 18709.807621135333)",,,,,,,,,,,,,,,,,,289.98999712245177,303.15,288.15,,,,0.010000014446568384,inf,-inf,35.051846078042445,inf,-inf
"(0, 18900.0)",299.0,290.0,283.05392640201615,59.199985500027374,18900.0,0.0,,,,,,,,,,,,289.98999723254263,303.15,288.15,34.680351844946244,200.0,0.0,,,,,,
"(0, 19090.192378864667)",,,,,,,,,,,,,,,,,,289.9899971909291,303.15,288.15,,,,0.009999945969490935,inf,-inf,34.680351844946244,inf,-inf
"(0, 19609.807621135333)",,,,,,,,,,,,,,,,,,289.989997094373,303.15,288.15,,,,0.01000004252524028,inf,-inf,34.680351844946244,inf,-inf
"(0, 19800.0)",299.0,290.0,283.10722430686906,59.19998550002674,19800.0,0.0,,,,,,,,,,,,289.98999706530213,303.15,288.15,34.41386440155719,200.0,0.0,,,,,,
"(0, 19990.192378864667)",,,,,,,,,,,,,,,,,,289.9899970762911,303.15,288.15,,,,0.010000060607019754,inf,-inf,34.41386440155719,inf,-inf
"(0, 20509.807621135333)",,,,,,,,,,,,,,,,,,289.989997101789,303.15,288.15,,,,0.010000035109247477,inf,-inf,34.41386440155719,inf,-inf
"(0, 20700.0)",299.0,290.0,283.139294616193,59.19998550002809,20700.0,0.0,,,,,,,,,,,,289.9899971094654,303.15,288.15,34.253512305462024,200.0,0.0,,,,,,
"(0, 20890.192378864667)",,,,,,,,,,,,,,,,,,289.989997106564,303.15,288.15,,,,0.010000030334283,inf,-inf,34.253512305462024,inf,-inf
"(0, 21409.807621135333)",,,,,,,,,,,,,,,,,,289.98999709983195,303.15,288.15,,,,0.010000037066337293,inf,-inf,34.253512305462024,inf,-inf
"(0, 21600.0)",299.0,290.0,283.15,59.199985500026905,21600.0,0.0,,,,,,,,,,,,289.98999709780475,303.15,288.15,34.199985531523545,200.0,0.0,,,,,,
"(0, 21790.192378864667)",,,,,,,,,,,,,,,,,,289.98999709857117,303.15,288.15,,,,0.010000038327081254,inf,-inf,34.199985531523545,inf,-inf
"(0, 22309.807621135333)",,,,,,,,,,,,,,,,,,289.9899971003496,303.15,288.15,,,,0.010000036548669,inf,-inf,34.199985531523545,inf,-inf
"(0, 22500.0)",299.0,290.0,283.139294616193,59.19998550002742,22500.0,0.0,,,,,,,,,,,,289.9899971008847,303.15,288.15,34.25351241224293,200.0,0.0,,,,,,
"(0, 22690.192378864667)",,,,,,,,,,,,,,,,,,289.9899971006825,303.15,288.15,,,,0.01000003621574679,inf,-inf,34.25351241224293,inf,-inf
"(0, 23209.807621135333)",,,,,,,,,,,,,,,,,,289.98999710021343,303.15,288.15,,,,0.010000036684829065,inf,-inf,34.25351241224293,inf,-inf
"(0, 23400.0)",299.0,290.0,283.10722430686906,59.19998550002728,23400.0,0.0,,,,,,,,,,,,289.9899971000719,303.15,288.15,34.413863968977665,200.0,0.0,,,,,,
"(0, 23590.192378864667)",,,,,,,,,,,,,,,,,,289.9899971001254,303.15,288.15,,,,0.010000036772873845,inf,-inf,34.413863968977665,inf,-inf
"(0, 24109.807621135333)",,,,,,,,,,,,,,,,,,289.98999710024964,303.15,288.15,,,,0.010000036648622255,inf,-inf,34.413863968977665,inf,-inf
"(0, 24300.0)",299.0,290.0,283.05392640201615,59.19998550002379,24300.0,0.0,,,,,,,,,,,,289.9899971002867,303.15,288.15,34.68035349056401,200.0,0.0,,,,,,
"(0, 24490.192378864667)",,,,,,,,,,,,,,,,,,289.98999710027255,303.15,288.15,,,,0.010000036625718965,inf,-inf,34.68035349056401,inf,-inf
"(0, 25009.807621135333)",,,,,,,,,,,,,,,,,,289.98999710023975,303.15,288.15,,,,0.010000036658532592,inf,-inf,34.68035349056401,inf,-inf
"(0, 25200.0)",299.0,290.0,282.97962913144534,59.19998550003911,25200.0,0.0,,,,,,,,,,,,289.9899971002295,303.15,288.15,35.05183984413481,200.0,0.0,,,,,,
"(0, 25390.192378864667)",,,,,,,,,,,,,,,,,,289.98999710023344,303.15,288.15,,,,0.010000036664817918,inf,-inf,35.05183984413481,inf,-inf
"(0, 25909.807621135333)",,,,,,,,,,,,,,,,,,289.9899971002426,303.15,288.15,,,,0.010000036655702902,inf,-inf,35.05183984413481,inf,-inf
"(0, 26100.0)",299.0,290.0,282.8846506474755,59.199985499981544,26100.0,0.0,,,,,,,,,,,,289.989997100245,303.15,288.15,35.526732263732036,200.0,0.0,,,,,,
"(0, 26290.192378864667)",,,,,,,,,,,,,,,,,,289.98999710024293,303.15,288.15,,,,0.010000036655319393,inf,-inf,35.526732263732036,inf,-inf
"(0, 26809.807621135333)",,,,,,,,,,,,,,,,,,289.9899971002383,303.15,288.15,,,,0.01000003665993254,inf,-inf,35.526732263732036,inf,-inf
"(0, 27000.0)",299.0,290.0,282.7693976625564,59.199985500202324,27000.0,0.0,,,,,,,,,,,,289.9899971002366,303.15,288.15,36.10299718859193,200.0,0.0,,,,,,
"(0, 27190.192378864667)",,,,,,,,,,,,,,,,,,289.9899971002401,303.15,288.15,,,,0.010000036658131194,inf,-inf,36.10299718859193,inf,-inf
"(0, 27709.807621135333)",,,,,,,,,,,,,,,,,,289.98999710024833,303.15,288.15,,,,0.010000036649951988,inf,-inf,36.10299718859193,inf,-inf
"(0, 27900.0)",299.0,290.0,282.6343637076634,59.19998549936091,27900.0,0.0,,,,,,,,,,,,289.98999710025043,303.15,288.15,36.77816696219511,200.0,0.0,,,,,,
"(0, 28090.192378864667)",,,,,,,,,,,,,,,,,,289.98999710023713,303.15,288.15,,,,0.010000036661118917,inf,-inf,36.77816696219511,inf,-inf
"(0, 28609.807621135333)",,,,,,,,,,,,,,,,,,289.9899971002063,303.15,288.15,,,,0.010000036691905429,inf,-inf,36.77816696219511,inf,-inf
"(0, 28800.0)",299.0,290.0,282.4801270189222,59.1999855025502,28800.0,0.0,,,,,,,,,,,,289.98999710019666,303.15,288.15,37.54935040908407,200.0,0.0,,,,,,
"(0, 28990.192378864667)",,,,,,,,,,,,,,,,,,289.98999710024566,303.15,288.15,,,,0.01000003665261518,inf,-inf,37.54935040908407,inf,-inf
"(0, 29509.807621135333)",,,,,,,,,,,,,,,,,,289.98999710035935,303.15,288.15,,,,0.010000036538956364,inf,-inf,37.54935040908407,inf,-inf
"(0, 29700.0)",299.0,290.0,282.3073480615127,59.199985490471434,29700.0,0.0,,,,,,,,,,,,289.9899971003932,303.15,288.15,38.41324518404415,200.0,0.0,,,,,,
"(0, 29890.192378864667)",,,,,,,,,,,,,,,,,,289.9899971002065,303.15,288.15,,,,0.01000003669178323,inf,-inf,38.41324518404415,inf,-inf
"(0, 30409.807621135333)",,,,,,,,,,,,,,,,,,289.98999709977323,303.15,288.15,,,,0.010000037125043403,inf,-inf,38.41324518404415,inf,-inf
"(0, 30600.0)",299.0,290.0,282.11676670145613,59.19998553621135,30600.0,0.0,,,,,,,,,,,,289.9899970996425,303.15,288.15,39.36615203005568,200.0,0.0,,,,,,
"(0, 30790.192378864667)",,,,,,,,,,,,,,,,,,289.98999710034803,303.15,288.15,,,,0.010000036550262048,inf,-inf,39.36615203005568,inf,-inf
"(0, 31309.807621135333)",,,,,,,,,,,,,,,,,,289.9899971019852,303.15,288.15,,,,0.010000034913085086,inf,-inf,39.36615203005568,inf,-inf
"(0, 31500.0)",299.0,290.0,281.90919903739484,59.19998536299966,31500.0,0.0,,,,,,,,,,,,289.98999710247773,303.15,288.15,40.40399017714075,200.0,0.0,,,,,,
"(0, 31690.192378864667)",,,,,,,,,,,,,,,,,,289.98999709980404,303.15,288.15,,,,0.010000037094227924,inf,-inf,40.40399017714075,inf,-inf
"(0, 32209.807621135333)",,,,,,,,,,,,,,,,,,289.98999709360027,303.15,288.15,,,,0.010000043297971838,inf,-inf,40.40399017714075,inf,-inf
"(0, 32400.0)",299.0,290.0,281.68553390593274,59.19998601894736,32400.0,0.0,,,,,,,,,,,,289.98999709173216,303.15,288.15,41.52231649038883,200.0,0.0,,,,,,
"(0, 32590.192378864667)",,,,,,,,,,,,,,,,,,289.9899971018556,303.15,288.15,,,,0.010000035042697829,inf,-inf,41.52231649038883,inf,-inf
"(0, 33109.80762113533)",,,,,,,,,,,,,,,,,,289.9899971253451,303.15,288.15,,,,0.01000001155327922,inf,-inf,41.52231649038883,inf,-inf
"(0, 33300.0)",299.0,290.0,281.44672907550034,59.199983534875415,33300.0,0.0,,,,,,,,,,,,289.9899971324168,303.15,288.15,42.716338158466996,200.0,0.0,,,,,,
"(0, 33490.19237886467)",,,,,,,,,,,,,,,,,,289.9899970940775,303.15,288.15,,,,0.010000042820755912,inf,-inf,42.716338158466996,inf,-inf
"(0, 34009.80762113533)",,,,,,,,,,,,,,,,,,289.9899970051185,303.15,288.15,,,,0.01000013177944809,inf,-inf,42.716338158466996,inf,-inf
"(0, 34200.0)",299.0,290.0,281.1938071450436,59.199992942044005,34200.0,0.0,,,,,,,,,,,,289.9899969783349,303.15,288.15,43.98095721791618,200.0,0.0,,,,,,
"(0, 34390.19237886467)",,,,,,,,,,,,,,,,,,289.9899971235237,303.15,288.15,,,,0.010000013374624393,inf,-inf,43.98095721791618,inf,-inf
"(0, 34909.80762113533)",,,,,,,,,,,,,,,,,,289.9899974604065,303.15,288.15,,,,0.009999676493103914,inf,-inf,43.98095721791618,inf,-inf
"(0, 35100.0)",299.0,290.0,280.927851165098,59.19995731714954,35100.0,0.0,,,,,,,,,,,,289.9899975618326,303.15,288.15,45.31070149271637,200.0,0.0,,,,,,
"(0, 35290.19237886467)",,,,,,,,,,,,,,,,,,289.98999701200137,303.15,288.15,,,,0.010000124896553225,inf,-inf,45.31070149271637,inf,-inf
"(0, 35809.80762113533)",,,,,,,,,,,,,,,,,,289.98999573622376,303.15,288.15,,,,0.010001400669442138,inf,-inf,45.31070149271637,inf,-inf
"(0, 36000.0)",299.0,290.0,280.65,59.2000922284197,36000.0,0.0,,,,,,,,,,,,289.9899953521206,303.15,288.15,46.70009222954366,200.0,0.0,,,,,,
"(0, 36190.19237886467)",,,,,,,,,,,,,,,,,,289.9899974343261,303.15,288.15,,,,0.009999702573400993,inf,-inf,46.70009222954366,inf,-inf
"(0, 36709.80762113533)",,,,,,,,,,,,,,,,,,289.99000226568387,303.15,288.15,,,,0.0099948712334838,inf,-inf,46.70009222954366,inf,-inf
"(0, 36900.0)",299.0,290.0,280.361443451095,59.199581320236945,36900.0,0.0,,,,,,,,,,,,289.9900037202773,303.15,288.15,48.14236406558242,200.0,0.0,,,,,,
"(0, 37090.19237886467)",,,,,,,,,,,,,,,,,,289.9899958349751,303.15,288.15,,,,0.010001301918506492,inf,-inf,48.14236406558242,inf,-inf
"(0, 37609.80762113533)",,,,,,,,,,,,,,,,,,289.9899775386473,303.15,288.15,,,,0.010019598178922437,inf,-inf,48.14236406558242,inf,-inf
"(0, 37800.0)",299.0,290.0,280.06341716182544,59.20151612650946,37800.0,0.0,,,,,,,,,,,,289.9899720301074,303.15,288.15,49.634430319308144,200.0,0.0,,,,,,
"(0, 37990.19237886467)",,,,,,,,,,,,,,,,,,289.9900018916982,303.15,288.15,,,,0.009995245217726293,inf,-inf,49.634430319308144,inf,-inf
"(0, 38509.80762113533)",,,,,,,,,,,,,,,,,,289.9900711797795,303.15,288.15,,,,0.009925957394118756,inf,-inf,49.634430319308144,inf,-inf
"(0, 38700.0)",299.0,290.0,279.7571973265158,59.19418902655277,38700.0,0.0,,,,,,,,,,,,289.99009204058416,303.15,288.15,51.15820239166751,200.0,0.0,,,,,,
"(0, 38890.19237886467)",,,,,,,,,,,,,,,,,,289.9899789549137,303.15,288.15,,,,0.010018181917754599,inf,-inf,51.15820239166751,inf,-inf
"(0, 39409.80762113533)",,,,,,,,,,,,,,,,,,289.9897165613536,303.15,288.15,,,,0.010280574537775226,inf,-inf,51.15820239166751,inf,-inf
"(0, 39600.0)",299.0,290.0,279.44409522551257,59.22193671091015,39600.0,0.0,,,,,,,,,,,,289.9896375616061,303.15,288.15,52.75146059706113,200.0,0.0,,,,,,
"(0, 39790.19237886467)",,,,,,,,,,,,,,,,,,289.99006581637235,303.15,288.15,,,,0.009931320781236624,inf,-inf,52.75146059706113,inf,-inf
"(0, 40309.80762113533)",,,,,,,,,,,,,,,,,,289.9910594992351,303.15,288.15,,,,0.008937642049149777,inf,-inf,52.75146059706113,inf,-inf
"(0, 40500.0)",299.0,290.0,279.12545161008063,59.11685639346089,40500.0,0.0,,,,,,,,,,,,289.9913586708107,303.15,288.15,54.23959829622618,200.0,0.0,,,,,,
"(0, 40690.19237886467)",,,,,,,,,,,,,,,,,,289.98973687253067,303.15,288.15,,,,0.010260263431748384,inf,-inf,54.23959829622618,inf,-inf
"(0, 41209.80762113533)",,,,,,,,,,,,,,,,,,289.9859738013762,303.15,288.15,,,,0.014023324935952335,inf,-inf,54.23959829622618,inf,-inf
"(0, 41400.0)",299.0,290.0,278.80263096110025,59.581988808207235,41400.0,0.0,,,,,,,,,,,,289.9848408403783,303.15,288.15,56.3188346411061,200.0,0.0,,,,,,
"(0, 41590.19237886467)",,,,,,,,,,,,,,,,,,289.99219426948895,303.15,288.15,,,,0.007802877799300547,inf,-inf,56.3188346411061,inf,-inf
"(0, 42109.80762113533)",,,,,,,,,,,,,,,,,,290.009256488209,303.15,288.15,,,,8.940595522429757e-05,inf,-inf,56.3188346411061,inf,-inf
"(0, 42300.0)",299.0,290.0,278.4770156461507,58.012118964905966,42300.0,0.0,,,,,,,,,,,,290.014393470091,303.15,288.15,56.37704007680443,200.0,0.0,,,,,,
"(0, 42490.19237886467)",,,,,,,,,,,,,,,,,,289.99077348332753,303.15,288.15,,,,0.009223656676508258,inf,-inf,56.37704007680443,inf,-inf
"(0, 43009.80762113533)",,,,,,,,,,,,,,,,,,289.93596784445396,303.15,288.15,,,,0.06402926130874786,inf,-inf,56.37704007680443,inf,-inf
"(0, 43200.0)",,,,,,,,,,,,,,,,,,289.91946731902044,303.15,288.15,,,,,,,,,
"(900.0, 0.0)",298.9166666666667,290.0833333333333,278.47700544868854,67.64299280347247,0.0,0.0,10000.0,5.0,250.0,1.0,900.0,7200.0,900.0,10.0,289.80449393398834,67.64299280347247,0.0,289.80449393398834,303.15,288.15,67.64299280347247,200.0,0.0,,,,,,
"(900.0, 190.19237886466843)",,,,,,,,,,,,,,,,,,290.0029526461885,303.15,288.15,,,,0.08037778681416004,inf,-inf,67.64299280347247,inf,-inf
"(900.0, 709.8076211353316)",,,,,,,,,,,,,,,,,,290.46343793862576,303.15,288.15,,,,7.569895187143669e-05,inf,-inf,67.64299280347247,inf,-inf
"(900.0, 900.0)",298.8333333333333,290.1666666666667,278.8026131194102,53.44031146388803,900.0,0.0,,,,,,,,,,,,290.6020778566276,303.15,288.15,43.49448281517844,200.0,0.0,,,,,,
"(900.0, 1090.1923788646684)",,,,,,,,,,,,,,,,,,290.3225212938664,303.15,288.15,,,,7.564474769581315e-05,inf,-inf,43.49448281517844,inf,-inf
"(900.0, 1609.8076211353316)",,,,,,,,,,,,,,,,,,289.67386402843965,303.15,288.15,,,,0.4927997366423736,inf,-inf,43.49448281517844,inf,-inf
"(900.0, 1800.0)",298.75,290.25,279.1254262005636,56.70150492128159,1800.0,0.0,,,,,,,,,,,,289.4785705162094,303.15,288.15,183.09096426141727,200.0,0.0,,,,,,
"(900.0, 1990.1923788646684)",,,,,,,,,,,,,,,,,,291.8467063794367,303.15,288.15,,,,7.570236988297034e-05,inf,-inf,183.09096426141727,inf,-inf
"(900.0, 2509.807621135332)",,,,,,,,,,,,,,,,,,297.34151042920666,303.15,288.15,,,,7.57024403921621e-05,inf,-inf,183.09096426141727,inf,-inf
"(900.0, 2700.0)",298.6666666666667,290.3333333333333,279.444062356976,55.348676420923915,2700.0,0.0,,,,,,,,,,,,298.9958503080458,303.15,288.15,93.3965946758101,200.0,0.0,,,,,,
"(900.0, 2890.1923788646686)",,,,,,,,,,,,,,,,,,298.9171858744644,303.15,288.15,,,,0.2505162212922618,inf,-inf,93.3965946758101,inf,-inf
"(900.0, 3409.807621135332)",,,,,,,,,,,,,,,,,,298.7346601778065,303.15,288.15,,,,0.06799052506739758,inf,-inf,93.3965946758101,inf,-inf
"(900.0, 3600.0)",298.5833333333333,290.4166666666667,279.75715713970783,54.25827282396146,3600.0,0.0,,,,,,,,,,,,298.6797065277471,303.15,288.15,94.29340797941877,200.0,0.0,,,,,,
"(900.0, 3790.1923788646686)",,,,,,,,,,,,,,,,,,298.673948015293,303.15,288.15,,,,0.09061169657225857,inf,-inf,94.29340797941877,inf,-inf
