,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,variable,upper,lower,variable,upper,lower,variable,upper,lower,variable,variable,upper,upper,lower,lower
,T_upper,T_lower,T_amb,Time,_P_external,in_provision,rel_start,rel_end,C,U,s_T,r_pel,profile_deviation_weight,T_zone,P_in,r_del_u_P_in,T_zone,T_zone,T_zone,P_in,P_in,P_in,T_slack,T_slack,T_slack,P_el,_P_in_full,P_el,_P_in_full,P_el,_P_in_full
"(0, 0.0)",299.0,290.0,278.15,0.0,0.0,0.0,0.0,0.0,10000.0,5.0,250.0,1.0,100.0,294.15,100.0,0.0,294.15,303.15,288.15,22.305279775450693,200.0,0.0,,,,,,,,,
"(0, 190.19237886466843)",,,,,,,,,,,,,,,,,293.10961405978725,303.15,288.15,,,,8.692067355804392e-05,inf,-inf,22.305279775450693,22.305279775450693,inf,inf,-inf,-inf
"(0, 709.8076211353316)",,,,,,,,,,,,,,,,,290.69559847631746,303.15,288.15,,,,8.696839316007032e-05,inf,-inf,22.305279775450693,22.305279775450693,inf,inf,-inf,-inf
"(0, 900.0)",299.0,290.0,278.15,900.0,0.0,0.0,0.0,0.0,,,,,,,,,289.96880235916694,303.15,288.15,59.46369672649223,200.0,0.0,,,,,,,,,
"(0, 1090.1923788646684)",,,,,,,,,,,,,,,,,289.9754687404696,303.15,288.15,,,,0.02452836253869529,inf,-inf,59.46369672649223,59.46369672649223,inf,inf,-inf,-inf
"(0, 1609.8076211353316)",,,,,,,,,,,,,,,,,289.9909367968207,303.15,288.15,,,,0.009060311324124824,inf,-inf,59.46369672649223,59.46369672649223,inf,inf,-inf,-inf
"(0, 1800.0)",299.0,290.0,278.15,1800.0,0.0,0.0,0.0,0.0,,,,,,,,,289.99559381866095,303.15,288.15,59.13034947277318,200.0,0.0,,,,,,,,,
"(0, 1990.1923788646684)",,,,,,,,,,,,,,,,,289.9938334828748,303.15,288.15,,,,0.006163629098528172,inf,-inf,59.13034947277318,59.13034947277318,inf,inf,-inf,-inf
"(0, 2509.807621135332)",,,,,,,,,,,,,,,,,289.98974896206784,303.15,288.15,,,,0.010248145132834195,inf,-inf,59.13034947277318,59.13034947277318,inf,inf,-inf,-inf
"(0, 2700.0)",299.0,290.0,278.15,2700.0,0.0,0.0,0.0,0.0,,,,,,,,,289.98851922109844,303.15,288.15,59.218373706009636,200.0,0.0,,,,,,,,,
"(0, 2890.1923788646686)",,,,,,,,,,,,,,,,,289.98898405831494,303.15,288.15,,,,0.011013048385605595,inf,-inf,59.218373706009636,59.218373706009636,inf,inf,-inf,-inf
"(0, 3409.807621135332)",,,,,,,,,,,,,,,,,289.9900626237213,303.15,288.15,,,,0.009934483706748922,inf,-inf,59.218373706009636,59.218373706009636,inf,inf,-inf,-inf
"(0, 3600.0)",299.0,290.0,278.15,3600.0,0.0,0.0,0.0,0.0,,,,,,,,,289.99038735118125,303.15,288.15,59.195129879597125,200.0,0.0,,,,,,,,,
"(0, 3790.1923788646686)",,,,,,,,,,,,,,,,,289.99026460548845,303.15,288.15,,,,0.009732502093808257,inf,-inf,59.195129879597125,59.195129879597125,inf,inf,-inf,-inf
"(0, 4309.807621135332)",,,,,,,,,,,,,,,,,289.9899797977034,303.15,288.15,,,,0.010017309663191466,inf,-inf,59.195129879597125,59.195129879597125,inf,inf,-inf,-inf
"(0, 4500.0)",299.0,290.0,278.15,4500.0,0.0,0.0,0.0,0.0,,,,,,,,,289.98989404962686,303.15,288.15,59.20126768328041,200.0,0.0,,,,,,,,,
"(0, 4690.192378864668)",,,,,,,,,,,,,,,,,289.9899264620599,303.15,288.15,,,,0.010070645267726858,inf,-inf,59.20126768328041,59.20126768328041,inf,inf,-inf,-inf
"(0, 5209.807621135332)",,,,,,,,,,,,,,,,,289.9900016688804,303.15,288.15,,,,0.00999543850237609,inf,-inf,59.20126768328041,59.20126768328041,inf,inf,-inf,-inf
"(0, 5400.0)",299.0,290.0,278.15,5400.0,0.0,0.0,0.0,0.0,,,,,,,,,289.99002431166053,303.15,288.15,59.19964692457258,200.0,0.0,,,,,,,,,
"(0, 5590.192378864668)",,,,,,,,,,,,,,,,,289.99001575277936,303.15,288.15,,,,0.009981354613837302,inf,-inf,59.19964692457258,59.19964692457258,inf,inf,-inf,-inf
"(0, 6109.807621135332)",,,,,,,,,,,,,,,,,289.9899958935408,303.15,288.15,,,,0.010001213837667196,inf,-inf,59.19964692457258,59.19964692457258,inf,inf,-inf,-inf
"(0, 6300.0)",299.0,290.0,278.15,6300.0,0.0,0.0,0.0,0.0,,,,,,,,,289.98998991445,303.15,288.15,59.20007490482807,200.0,0.0,,,,,,,,,
"(0, 6490.192378864668)",,,,,,,,,,,,,,,,,289.9899921745226,303.15,288.15,,,,0.01000493285316858,inf,-inf,59.20007490482807,59.20007490482807,inf,inf,-inf,-inf
"(0, 7009.807621135332)",,,,,,,,,,,,,,,,,289.98999741858665,303.15,288.15,,,,0.009999688792976509,inf,-inf,59.20007490482807,59.20007490482807,inf,inf,-inf,-inf
"(0, 7200.0)",299.0,290.0,278.15,7200.0,0.0,0.0,0.0,0.0,,,,,,,,,289.98999899743495,303.15,288.15,59.19996189164579,200.0,0.0,,,,,,,,,
"(0, 7390.192378864668)",,,,,,,,,,,,,,,,,289.9899984006365,303.15,288.15,,,,0.009998706743821306,inf,-inf,59.19996189164579,59.19996189164579,inf,inf,-inf,-inf
"(0, 7909.807621135332)",,,,,,,,,,,,,,,,,289.9899970158805,303.15,288.15,,,,0.01000009149885216,inf,-inf,59.19996189164579,59.19996189164579,inf,inf,-inf,-inf
"(0, 8100.0)",299.0,290.0,278.15,8100.0,0.0,0.0,0.0,0.0,,,,,,,,,289.98999659896685,303.15,288.15,59.19999173409529,200.0,0.0,,,,,,,,,
"(0, 8290.192378864669)",,,,,,,,,,,,,,,,,289.9899967565585,303.15,288.15,,,,0.010000350820653963,inf,-inf,59.19999173409529,59.19999173409529,inf,inf,-inf,-inf
"(0, 8809.807621135331)",,,,,,,,,,,,,,,,,289.9899971222198,303.15,288.15,,,,0.009999985159650403,inf,-inf,59.19999173409529,59.19999173409529,inf,inf,-inf,-inf
"(0, 9000.0)",299.0,290.0,278.15,9000.0,0.0,0.0,0.0,0.0,,,,,,,,,289.9899972323104,303.15,288.15,59.199983853848416,200.0,0.0,,,,,,,,,
"(0, 9190.192378864669)",,,,,,,,,,,,,,,,,289.9899971906965,303.15,288.15,,,,0.00999991668299386,inf,-inf,59.199983853848416,59.199983853848416,inf,inf,-inf,-inf
"(0, 9709.807621135331)",,,,,,,,,,,,,,,,,289.98999709413965,303.15,288.15,,,,0.010000013239769864,inf,-inf,59.199983853848416,59.199983853848416,inf,inf,-inf,-inf
