causality,Causality.outp,Causality.loca,Causality.inpu
name,T_zone,roomCapacity.T,Q_in
type,Real,Real,Real
0,,,0.0
5,294.1100792066472,294.1100792066472,22.305279775450693
10,294.0813890187549,294.0813890187549,22.305279775450693
15,294.05282870684334,294.05282870684334,22.305279775450693
20,294.0243508875806,294.0243508875806,22.305279775450693
25,293.9959400523511,293.9959400523511,22.305279775450693
30,293.9675962011549,293.9675962011549,22.305279775450693
35,293.939319333992,293.939319333992,22.305279775450693
40,293.91110945086234,293.91110945086234,22.305279775450693
45,293.88296655176595,293.88296655176595,22.305279775450693
50,293.85489063670286,293.85489063670286,22.305279775450693
55,293.8268817056731,293.8268817056731,22.305279775450693
60,293.7989397586765,293.7989397586765,22.305279775450693
65,293.7710673769891,293.7710673769891,22.305279775450693
70,293.7432945537332,293.7432945537332,22.305279775450693
75,293.7155897864214,293.7155897864214,22.305279775450693
80,293.6879530750536,293.6879530750536,22.305279775450693
85,293.6603844196299,293.6603844196299,22.305279775450693
90,293.63288382015025,293.63288382015025,22.305279775450693
95,293.6054512766147,293.6054512766147,22.305279775450693
100,293.5780867890232,293.5780867890232,22.305279775450693
105,293.5507903573757,293.5507903573757,22.305279775450693
110,293.5235619816723,293.5235619816723,22.305279775450693
115,293.49640166191296,293.49640166191296,22.305279775450693
120,293.46930939809766,293.46930939809766,22.305279775450693
125,293.4422851902264,293.4422851902264,22.305279775450693
130,293.41532903829926,293.41532903829926,22.305279775450693
135,293.38844094231615,293.38844094231615,22.305279775450693
140,293.36162090227714,293.36162090227714,22.305279775450693
145,293.3348689181821,293.3348689181821,22.305279775450693
150,293.3081849900312,293.3081849900312,22.305279775450693
155,293.28156911782435,293.28156911782435,22.305279775450693
160,293.2550213015615,293.2550213015615,22.305279775450693
165,293.22854154124275,293.22854154124275,22.305279775450693
170,293.20212983686804,293.20212983686804,22.305279775450693
175,293.1757861884374,293.1757861884374,22.305279775450693
180,293.14951059595086,293.14951059595086,22.305279775450693
185,293.12330305940833,293.12330305940833,22.305279775450693
190,293.0971635788099,293.0971635788099,22.305279775450693
195,293.07109215415545,293.07109215415545,22.305279775450693
200,293.04508878544516,293.04508878544516,22.305279775450693
205,293.01915347267885,293.01915347267885,22.305279775450693
210,292.99328621585664,292.99328621585664,22.305279775450693
215,292.9674870149785,292.9674870149785,22.305279775450693
220,292.94175587004435,292.94175587004435,22.305279775450693
225,292.9160927810543,292.9160927810543,22.305279775450693
230,292.89049774800833,292.89049774800833,22.305279775450693
235,292.86497077090644,292.86497077090644,22.305279775450693
240,292.83951184974853,292.83951184974853,22.305279775450693
245,292.8141209845347,292.8141209845347,22.305279775450693
250,292.788798175265,292.788798175265,22.305279775450693
255,292.76354342193935,292.76354342193935,22.305279775450693
260,292.73835672455766,292.73835672455766,22.305279775450693
265,292.71323808312013,292.71323808312013,22.305279775450693
270,292.6881874976266,292.6881874976266,22.305279775450693
275,292.66320496807714,292.66320496807714,22.305279775450693
280,292.6382904944718,292.6382904944718,22.305279775450693
285,292.6134440768104,292.6134440768104,22.305279775450693
290,292.58866571509316,292.58866571509316,22.305279775450693
295,292.56395540931993,292.56395540931993,22.305279775450693
300,292.5393131594908,292.5393131594908,22.305279775450693
305,292.5147389656057,292.5147389656057,22.305279775450693
310,292.49023282766467,292.49023282766467,22.305279775450693
315,292.46579474566767,292.46579474566767,22.305279775450693
320,292.44142471961476,292.44142471961476,22.305279775450693
325,292.4171227495059,292.4171227495059,22.305279775450693
330,292.3928888353411,292.3928888353411,22.305279775450693
335,292.3687229771204,292.3687229771204,22.305279775450693
340,292.3446251748437,292.3446251748437,22.305279775450693
