causality,Causali,Causali,Causali,Causali,Causali,Causali,Causali
name,T_out,P_el,mDot,load,T_in,T_upper,T_lower
type,float,float,float,float,float,float,float
0,,,0.02,150,280.15,294.15,292.15
10,297.97932068622026,0.3565864137244062,0.05000000997656391,150,280.15,294.15,292.15
20,297.90535912281,0.8877681332779785,0.05000000997656391,150,280.15,294.15,292.15
30,297.83176644431063,0.8840884986188035,0.05000000997656391,150,280.15,294.15,292.15
40,297.7585408109006,0.8804272162177645,0.05000000997656391,150,280.15,294.15,292.15
50,297.685680391935,0.8767841945425862,0.05000000997656391,150,280.15,294.15,292.15
60,297.61318336589807,0.8731593425174714,0.05000000997656391,150,280.15,294.15,292.15
70,297.5410479203605,0.8695525695209265,0.05000000997656391,150,280.15,294.15,292.15
80,297.46927225193105,0.8659637853833781,0.05000000997656391,150,280.15,294.15,292.15
90,297.39785456621365,0.8623929003850089,0.05000000997656391,150,280.15,294.15,292.15
100,297.326793077762,0.8588398252534736,0.05000000997656391,150,280.15,294.15,292.15
110,297.25608601003404,0.8553044711616637,0.05000000997656391,150,280.15,294.15,292.15
120,297.1857315953487,0.8517867497255033,0.05000000997656391,150,280.15,294.15,292.15
130,297.1157280748413,0.8482865730017369,0.05000000997656391,150,280.15,294.15,292.15
140,297.0460736984197,0.8448038534857472,0.05000000997656391,150,280.15,294.15,292.15
150,296.9767667247202,0.8413385041093271,0.05000000997656391,150,280.15,294.15,292.15
160,296.90780542106353,0.8378904382384927,0.05000000997656391,150,280.15,294.15,292.15
170,296.83918806341325,0.8344595696714158,0.05000000997656391,150,280.15,294.15,292.15
180,296.77091293633094,0.831045812636152,0.05000000997656391,150,280.15,294.15,292.15
190,296.7029783329346,0.8276490817885778,0.05000000997656391,150,280.15,294.15,292.15
200,296.63538255485497,0.8242692922102217,0.05000000997656391,150,280.15,294.15,292.15
210,296.5681239121929,0.8209063594061076,0.05000000997656391,150,280.15,294.15,292.15
220,296.5012007234783,0.8175601993027127,0.05000000997656391,150,280.15,294.15,292.15
230,296.43461131562714,0.8142307282458234,0.05000000997656391,150,280.15,294.15,292.15
240,296.36835402390057,0.8109178629984766,0.05000000997656391,150,280.15,294.15,292.15
250,296.3024271918617,0.8076215207388078,0.05000000997656391,150,280.15,294.15,292.15
260,296.2368291713359,0.8043416190580744,0.05000000997656391,150,280.15,294.15,292.15
270,296.1715583223684,0.8010780759585228,0.05000000997656391,150,280.15,294.15,292.15
280,296.10661301318453,0.7978308098513959,0.05000000997656391,150,280.15,294.15,292.15
290,296.0419916201469,0.7945997395548143,0.05000000997656391,150,280.15,294.15,292.15
300,295.97769252771656,0.7913847842918161,0.05000000997656391,150,280.15,294.15,292.15
310,295.91371412841255,0.7881858636883321,0.05000000997656391,150,280.15,294.15,292.15
320,295.8500548227705,0.7850028977711302,0.05000000997656391,150,280.15,294.15,292.15
330,295.78671301930467,0.781835806965902,0.05000000997656391,150,280.15,294.15,292.15
340,295.7236871344652,0.778684512095147,0.05000000997656391,150,280.15,294.15,292.15
350,295.6609755926008,0.7755489343762781,0.05000000997656391,150,280.15,294.15,292.15
360,295.5985768259195,0.7724289954196898,0.05000000997656391,150,280.15,294.15,292.15
370,295.53648927444874,0.7693246172267312,0.05000000997656391,150,280.15,294.15,292.15
380,295.4747113859951,0.7662357221877143,0.05000000997656391,150,280.15,294.15,292.15
390,295.4132416161076,0.763162233080086,0.05000000997656391,150,280.15,294.15,292.15
400,295.3520784280387,0.7601040730664416,0.05000000997656391,150,280.15,294.15,292.15
410,295.2912202927046,0.7570611656925832,0.05000000997656391,150,280.15,294.15,292.15
420,295.2306656886482,0.7540334348856365,0.05000000997656391,150,280.15,294.15,292.15
430,295.1704131020002,0.7510208049521248,0.05000000997656391,150,280.15,294.15,292.15
440,295.1104610264428,0.7480232005761375,0.05000000997656391,150,280.15,294.15,292.15
450,295.05080796317003,0.7450405468173625,0.05000000997656391,150,280.15,294.15,292.15
460,294.9914524208518,0.7420727691092874,0.05000000997656391,150,280.15,294.15,292.15
470,294.9323929155955,0.7391197932572662,0.05000000997656391,150,280.15,294.15,292.15
480,294.8736279709101,0.7361815454367212,0.05000000997656391,150,280.15,294.15,292.15
